,Generation,label
0,"""Latest Headlines on CNN Business"""""" """" ""-Uber to expand Pittsburgh service to all suburbs"" """" ""-General Mills to invest $500 million in China"" """" ""-Hertz to sell its Enterprise brand to Avis""",gpt3
1,"""China wants to take a victory lap over its handling of the coronavirus outbreak"""""" """" ""The Xinhua news agency reports that China plans to take a victory lap over its handling of the coronavirus outbreak."" """" ""China has reported 22 cases of Middle East Respiratory Syndrome (MERS), less than half of the global total of 49 cases as of Wednesday."" """" ""The Beijing Daily reports that the victory lap will include a series of conferences on the coronavirus, with the aim of better educating the public on the virus."" """" ""China has also provided financial assistance to countries affected by the virus, and sent experts to help with the fight against it.""",gpt3
2,"""Coronavirus disinformation creates challenges for China's government"""""" """" ""The coronavirus has wreaked havoc in the Middle East and North Africa, and now, China is facing its own set of challenges as it tries to prevent the virus from spreading. Coronavirus misinformation can create challenges for the Chinese government, as it tries to disseminate accurate information to the public and keep track of where the virus is spreading. Additionally, the Chinese government is likely concerned about the potential for a domestic outbreak of the virus, given that it has a smaller population and a much less developed health care system.""",gpt3
3,"""China coronavirus: Eating wild animals made illegal but ending the trade won't be easy"""""" """" ""Countries around the world have been scrambling to prevent the spread of the coronavirus, which has killed more than 30 people in Saudi Arabia and Qatar. But halting the global trade in wild animals, which is responsible for spreading the virus, is likely to be difficult."" """" ""“It’s not just about a straight up trade embargo. It’s about making sure that critical infrastructure is in place to support this, like meat-processing plants,” said David Frost, a professor at the University of North Carolina at Chapel Hill who specializes in infectious diseases."" """" ""Coronavirus outbreaks happen when people get infected from touching an infected animal, such as a goat, cow, or pig. Once a person is infected, the virus can spread through saliva and other secretions, and through close contact, such as touching the eyes, nose, or mouth."" """" ""There is no specific cure for the coronavirus, which can cause severe respiratory illness, and increasingly, death. The virus is highly contagious, and even if someone does not show symptoms of the virus, they can still spread it to others."" """" ""Countries have been working to prevent the spread of the virus by urging people not to travel to Saudi Arabia and Qatar, and by ceasing trade with countries where the virus is active."" """" ""But it is likely that the global trade in wild animals will continue, as it is difficult to prohibit."" """" ""“Producers will take their products where they can find buyers,” Frost said. “So a complete trade embargo would be difficult to enforce.”"" """" ""Frost said that a possible way to halt the spread of the virus would be to create awareness among the public about the dangers of the virus and the importance of following guidelines to prevent transmission."" """" ""“We need to do a better job of getting the word out there,” he said.""",gpt3
4,"""China's economy could shrink for the first time in decades because of the coronavirus"""""" """" ""Chinese exports to the countries hardest hit by the coronavirus are concentrated in health, food and construction sectors"" """" ""China's economy could shrink for the first time in decades because of the coronavirus, which has killed more than 1,000 people in the Middle East."" """" ""China's exports to the countries hardest hit by the coronavirus are concentrated in health, food and construction sectors, and Beijing is worried the virus could cause a massive slump in the global economy."" """" """"China is one of the countries most affected by the outbreak of the coronavirus, and the Chinese economy is highly sensitive to changes in the global trade and investment environment,"" the Chinese government said in a statement."" """" ""China's economy grew at 6.9% in 2016, its slowest pace in 25 years, and analysts are worried a prolonged outbreak of the virus could knock that figure off balance."" """" """"The situation is unprecedented, and the global economy is extremely sensitive to oil prices and stock market fluctuations,"" sociologist Zhang Ming said."" """" ""The World Bank has warned that the coronavirus could cost up to $185 billion in economic losses worldwide by 2021.""",gpt3
5,"""China and Japan's budding relationship in the time of coronavirus"""""" """" ""Japan is in the process of rebuilding after the devastating Great East Japan Earthquake and Tsunami in 2011. China has been a strong supporter of Japan and its recovery, including providing a financial bailout and infrastructure investment. The two countries have been working together to combat the coronavirus, which has caused a global health emergency. The relationship between Japan and China has been strengthened by this common cause.""",gpt3
6,"""Coronavirus is fast becoming an 'economic pandemic'"""""" """" ""A coronavirus is a virus that causes severe respiratory illness, including pneumonia, and can be deadly. The World Health Organization has warned that this type of virus is becoming an ""economic pandemic."" The organization has said that coronaviruses are causing a ""significant increase"" in the number of cases of severe respiratory illness and that the global incidence of this virus is increasing. The WHO also warned that this type of virus could become a global health crisis in the future.""",gpt3
7,"""A history of Wuhan, one-time Chinese capital and coronavirus epicenter"""""" """" ""The city of Wuhan, located in the Hubei province of central China, has a long and storied history. As one of the oldest cities in China, it served as the political, commercial and cultural capital of the country for centuries."" """" ""In 1925, Wuhan became the provisional capital of China following the fall of the Qing dynasty. As the country's largest city, Wuhan played an important role in the development of Chinese culture and politics."" """" ""In 1957, Wuhan became the capital of the newly created Hubei province. It continued to serve as the provincial capital until 1997, when Wuhan was replaced by Hangzhou as the provincial capital."" """" ""Wuhan is now one of the most important cities in China, and is home to a number of important institutions and businesses. It is also the site of the Wuhan University of Pharmacy, one of the country's leading pharmaceutical universities."" """" ""As one of the most popular tourist destinations in China, Wuhan is also inundated with tourists every year. The city is well-connected by road and rail, and is situated close to a number of important tourist destinations, including the Great Wall of China and the Yangtze River Delta.""",gpt3
8,"""Global stocks pull back from the edge after historic sell-off"""""" """" ""Wall Street stocks pulled back sharply on Tuesday after a nearly 5 percent fall on Monday, with the tech-heavy Nasdaq Composite Index ending the day down 2.6 percent."" """" ""Investors pulled back after Monday's sell-off, with the S&P 500 Index down 1.9 percent and the Dow Jones Industrial Average down 1.9 percent."" """" ""RELATED:"" """" ""What stocks are opening down?"" """" ""Monday's stock market sell-off: What we know"" """" ""US stocks fall as Trump trade war escalates""",gpt3
9,"""Chinese diplomat promotes conspiracy theory that US military brought virus to Wuhan"""""" """" ""A Chinese diplomat has promoted a conspiracy theory that the US military deliberately brought a virus to Wuhan to cause mass casualties."" """" ""Wang Qishan, secretary-general of China’s Central Commission for Discipline Inspection, made the comments in reference to the H7N9 virus that has killed more than 40 people in China since March."" """" ""“Some people have suggested that the US military deliberately released the H7N9 virus in Wuhan to cause mass casualties. I believe this theory is Absolutely ludicrous,” Wang said on Monday, according to state news agency Xinhua."" """" ""China has blamed the US for the virus’ spread, alleging Washington was trying to “create a pretext for military intervention” in the country."" """" ""Wang’s comments come as the Chinese government tighten its grip on the internet and restrict access to information about the virus."" """" ""Local media reports say Chinese authorities have ordered social media companies to remove all information about the virus, blocked access to foreign media sites, and contacted hotels and airlines to ask them to stop promoting international travel to China."" """" ""The virus has killed at least 40 people in China after first emerging in the country in December last year.""",gpt3
