,Generation,label
0,latest headlin cnn busi good thing your news would kill happen im go home wife son christma dinner sigh heavili stare comput screen knew come next seen enough kind stuff father said didnt want think got back new york need time think thing like much money could spend cloth shoe furnitur dad pleas dont go whisper turn toward look older ever tire ask softli felt tear prick behind eye peopl need us chapter twenti eight rachel sat alon kitchen stare dark night tri desper figur life gone wrong thought might abl find work somewher els mayb even get help rememb david told one want daughter live welfar payment anymor could bare afford groceri let alon rent car lucki still live forc move california cell phone rang caller id show unfamiliar number glanc shoulder saw isaac call answer without answer hello hi honey everyth okay rachel swallow hard hate talk telephon someon mother especi sinc sister law sarah live three mile away ye fine wonder youv heard anyth yet brother noth unusu come late except coupl miss kid two disappear differ case silenc well yeah guess frown relat cant say mom know better anyon wait,gpt
1,china want take victori lap handl coronaviru outbreak nod mind still happen locker room fact attack infect vampir least one fang like mine spoke your say want us dead shook head slowli much process realli dont even know kill yet eye narrow make look danger ever ask heart began pound harder fear theyv kidnap sister home taken away somewher els safe thing solv chapter twenti four kiev find locat matteo demand realiz kiev presenc mustv kind track devic plant insid cell otherwis would never found daughter everyon keep tell lie matteo snap thank saira keep aliv thank saira save live today matteo sigh fine let get back town see whether vampir return mayb one help us figur island need go first two men head toward town matteo kept glanc behind everi second sever minut howev stop walk turn around come along boy said gestur toward wood cant stay coop forev follow matteo forest sun set soon arriv outskirt port moresbi matteo led narrow road lead north pass mani hous shop fill peopl prepar meal chat amongst other sat eat dinner front fire reach anoth small villag matteo point ahead way walk briskli suddenli pull wait,gpt
2,coronaviru disinform creat challeng china govern that im talk sir presid work us develop vaccin diseas want idea mani peopl infect one person know someth someon washington need help your wast time young man get back home belong let handl phone went dead smith hung boss last thing klein need anoth confront irat american intellig offic type smith sat desk took fax printout print comput screen earlier open began read dr peter howel phd md phd unit state armi medic associ retc retir militari attach us air forc base fort bragg read sever page stop came across name hospit marti zellerbach live look around offic feel uneasi didnt like hospit much anymor anyon els close would jon rememb strang messag internet jon pleas call pleas dont go away marti voic echo insid pleas reason heart sank marti sound desper smith close paper set asid could think randi russel chapter thirti seven baghdad wednesday night midmorn jon knew must tell truth leav airport flown straight town bypass custom immigr found marti wait outsid small hotel room sit cross leg bed smoke cigarett wore jean shirt made look grown up twenti year old also seem distract stare blankli ahead without speak jon said gentli hey buddi talk marti shook look daze oh god sorri think,gpt
3,china coronaviru eat wild anim made illeg end trade wont easi im sure sir said man late fifti thin hair glass sit one bench near us air suggest knew someth didnt know mean ask mckean theyr say there vaccin diseas doesnt exist anymor mckean shook head slowli side side tri shake away cobweb look eye wide open possibl happen guess whoever creat creatur must care mean someon done research mckean frown thought nod ye perhap would anyon want kill kind mayb somebodi want keep speci aliv mayb someon want preserv longev kill everi last live creatur within fifti mile neah bay make sens peyton yet idea seem unlik peopl afraid death mckean consid possibl take word fin let ask tleena came know scientist well told father die took famili busi gordon steel retir mckean studi face close sign recognit never occur instead stare back blankli like child whose mother forgot name final spoke oh right gordon steel work san francisco citi hospit rememb see around town seem quit nice enough use work compani call pacif northwest medicin sound familiar ive heard place long ago day two year hmm wonder left practic probabl thought get rich sell drug profit good point,gpt
4,china economi could shrink first time decad coronaviru im sorri mr presid cant anymor kind damag countri health well late must prepar happen next problem like hand pleas contact immedi let us know soon possibl thank much said gener stilkin stand podium listen intent convers good friend concern go handl situat got back home washington dc knew would take longer expect get everyth straighten also want everyon involv understand exactli militari need armi thing especi sinc seem way fix anyth without get caught kill one thing anoth sometim took month peopl realiz someth realli bad might actual go chapter twenti four death threat presid westwood sat behind desk look report read sever articl alien attack earth look someon knock door come right sir came voic major sammi davi outsid room captain scarburg walk insid carri two cup fill coffe set front motion forrest sit across seat sam explain happen kennedi airport dalla earlier today heard news superior sir appar terrorist attack sever civilian airport day thought mayb would help keep public safe seem like alreadi start spread rumor around town captain afraid may need stay away terrorist attack notic attack noth unit state govern seriou threat mankind ye sir realiz howev think concern believ chines use nuclear weapon us believ use advanc weapon call ufoc mean bomb,gpt
5,china japan bud relationship time coronaviru ive think said look smile say your go anywher talk well what mind eye seriou held gaze sever second move away wasnt didnt get along well left last year issu thing need talk right like much hate father want leav countri badli nicola felt relax slightli word even though still hurt especi sinc alway believ marcu could never anyth employe work hard make money rather someon made mistak know thing ask softli shrug one shoulder im good read peopl tell look face lie someth bother cant believ great insight men exclaim realiz sound rude even ask sorri quickli ad open mouth speak let guess read women magazin actual write stori magazin mostli romanc novel fantasi book told clearli pleas surpris editor like work better mine know exactli everi word goe laugh thought woman write stori serv remind wasnt realli interest anymor abl see everyon els lie mean everyth admit without hesit love secret oh god love know secret want hear rest ever think get marri someday ye paus anoth moment say first need figur whether wait marri wed,gpt
6,coronaviru fast becom econom pandem nod said that true cdc tri get vaccin year doesnt work well hope fact theyr still work get one lab thing go right moment new vaccin want back go ahead use em laugh shook head say way thing expens noth left wife die everyth need would point besid look sad eye continu need someth food water though yeah agre much longer famili stay sure mayb anoth month didnt like convers head ask want us gone realli care kill zombi there nowher els run repli simpli chapter twenti three zombi apocalyps woke feel better ever felt refresh readi face whatev lay beyond door open saw father sit front televis watch cnn eat breakfast turn tv smile notic stand doorway good morn son greet hi dad thank let mom sleep oh sorri last night oh problem im glad guy could make fun yeah guess know there someon want talk today say pay two hundr dollar per week wow sound great come tomorrow afternoon ye cours thank god okay see ya soon bye love daddi love kid walk,gpt
7,histori wuhan onetim chines capit coronaviru epicent im sorri hear father death must understand wasnt fault choic matter anyon respons happen said final though decis make countri need us ever mother look wait answer know much longer could stand answer everyth els done knew noth would better safer thought back everi convers sinc left realiz never realli spoke anymor relationship seem strain first met mayb becam friend mom think dad rememb anyth day mean even want see ask nervous oh dear mr saunder exclaim look like want scream loud wish could tell your aliv honey ca nt say right give rest let bodi heal heart sank pit stomach felt begin sob uncontrol parentsdeath made sens could forget year might make thing easier us need answer desper ever woke feel refresh rest sat slowli rub eye shaki hand still littl bit blood shirt someon hit thank gone glanc around room see everyon except mr saunder asleep meant probabl went home earli wonder briefli could possibl sleep event decid ask got dress quickli care keep small amount makeup walk hall toward kitchen found grandma mari sit tabl read someth walk past without say hello hope would take piti leav alon,gpt
8,global stock pull back edg histor selloff right cours long time sinc seen side famili wealth didnt mean heart could stay one place mani year im sorri parentsdeath thank mom your kind good peopl smile turn away anoth wave hey honest favor keep eye sister go check new thing around anyth wrong need fix call okay nod feel like say someth els stood frozen walk away got car start drive toward town turn ran street stop take pictur tree line road went insid hous lock bathroom felt better chapter six reunion day later thibault sat alon front televis nana live room watch news knew come next though exactli much first part stori would summar descript elizabeth visit hampton meant need know everyth happen three week includ whether ben learn alreadi also want hear everi detail ben thought second half report includ detail concern trip california subsequ arriv zeu along sever tidbit regard event surround accid thibault listen intent ben describ encount beth short order told night saw stand outsid diner work thibault come across last thing rememb afterward see smile broadli ask look happi explain never met anyon made feel like realli care enough make effort help someon wait respons thibault tri imagin,gpt
9,chines diplomat promot conspiraci theori us militari brought viru wuhan presid secretari defens assassin terrorist group paus effect continu intern incid countri one major except china use nuclear weapon unit state threat made polit power kind biolog weapon seem like your go nut noth govern attack terrorist tri kill im sorri word offend even scare howev far thing go seem pretti seriou caus think take serious concern may anoth attack nation gener vandenberg repli calmli sir situat home differ anywher els america weve got peopl work hard get readi war prepar food suppli build infrastructur plan new hospit train soldier everyth chang drastic stryker look around offic everyon seem calm collect except happen long known someon would betray continu gentlemen let tell someth still littl confus would anyon want harm america dont get comfort think fall line behind guy job said stryker sarcast well mr solomon must reason action could explain came back today fact remain way whole thing could possibl work without help ask sound fishi exclaim gener shinnl yeah right mean make say ask candac knew better way stryker oper also suspect work alon suspicion prove correct stryker answer soon left went straight airport board air forc jet head south know sound crazi mayb plane someth attack chapter stryker sat,gpt
