,Generation,label
0,latest headlin cnn busi tuesday wednesday monday friday weekend sunday saturday weekend free paid money amount person time day n ref note correct ask whycaus that right becausereason everyth alway work well far possibl probabl reason concern never work perfectli either therefor explain thing better other would like understand concept reason best way around problem make sens ye sir thank anyway thank god pleas stop pray im sorri anyth wrong problem none whatsoev noth realli bad okay ok good bye goodby goodnight night sleep peac upstair asleep safe downstair safe away home final today tomorrow morn earli start school start soon breakfast alreadi start class yesterday afternoon late break lunch period break daili schedul chang everyday week day holiday vacat week end whenev conveni notic given perman retir temporarili suspend leav sick discharg medic issu famili emerg death threat warn danger situat unknown circumst suspici event descript event normal situat ordinari activ routin task simpl duti assign respons special assign assign task purpos statement duti request job requir summari order letter order letter instruct request document request document content content pay job class salari temporari holiday oh cost sleep meet accid retir start pray alright weekli orient hire daytoday finesaturday meet weekday weekday pay payment prayer motiv perman easi lesson lesson hey awak anytim posit wage success work morn except thursday bonu yeah wait termin regular funer happi train monthli birthday fun usual contract payrest farewel extraordinari goodby bed christma pleasur end opportun employ new dinner extra honeymoon happi punish celebr leisur thanksgiv promot celebr glad hobbi suspens news exercis wish great short appoint overtim bore transfer arriv offic joy adventur someth life confess marriag anniversari employe noon reward even gone dream experi profess hell luck trip loss troubl joke weather fanci comfort invent old parti surpris gift sad cheap coincid midday excit dawn fortun halloween rare forbidden idea parttim begin action religion vocat angri naughti shop lucki hard rich spirit merri futur wed truth age assembl arrang lazi go shame mood sorrow coffe birth tea abus feel end dull midnight also glori tire fair explain prayer guilt lost stupid song rain shift hello mad imposs happen busi journey explan secret flight feel past calm miracl sun,xlm
1,china want take victori lap handl coronaviru outbreak final beij pm ist winner bold text br win match lose tomorrow today tonight right stand still wait wait waitpleas hurri crazi man play instead easili enough oh god happen moment time frozen forev ever lost everyth never anyon die us surviv togeth alway sinc nowaday till day one yesterday present day happen everyday ye yeah sure ok okay alright fine sorri bye goodby goodby farewel hello well goodnight thank much anyway realli good actual huh hmm mayb sometim late that life happen occasion often whenev happen someth bad like death diseas even wors anyth els anytim die especi children mostli kid almost everyon die everi year sometim sooner usual usual month long longer year away though week shorter perhap yearli say noth probabl suddenli unfortun someday also hope uh thank nearli somehow everybodi fortun hey froze yet otherwis sadli anymor definit die etc afterward etc accid dammit helpless although alreadi soon sad dead eh great better ala somebodi time twice accid ill either pain whatev born live old unhappi anybodi death awhil alik later elderli etern ordinarili middleag babi aliv happili nobodi murder accident young suicid older oldc orphan birth ill orphan kill wellperagaingon sudden kill inde forgotten unmorestillbirth sick fatal homeless newborn reveng nevernew final fuck bloodi weird murder happi war unlik normal cri murder violent violenc mourn mad danger end sleep bankrupt mad rich hell game tragedi refuck stupid insan go fight angri alon slaughter wrong fear unfair guilti short nervou calm backward dad none unexpect emot lose kill fair depress defect glad kill mood kill sleep vengeanc sabotag lucki useless brave frighten cheat hate apart steal remors bond sane war meat nasti win scare funer guilt reward loss break contest dope punish sacrific norm deep fun coincid fast express go dream failur feat cold flashback becom cat gofeel weight syndrom trauma mental suspici rare someon excit wish,xlm
2,coronaviru disinform creat challeng china govern way run con defens industri espionag conclus summari overview conclus present day nowiki x e c v ref r b w g f h j q p n u z k l els someth like happen soon enough total number count error bracket number follow tabl except note otherwis right margin left margin center page first line last paragraph second sentenc third phrase fourth statement fifth question sixth answer seventh observ eighth explan ninth solut tenth definit eleventh resolut twelfth warn thirteenth amend fourteenth prohibit fifteenth confess sixteenth discoveri seventeenth testimoni wit report trial verdict judgment disposit order execut penalti death sentenc execut order pardon order issu amnesti grant liberti deni passport revok visa expir time serv prison term suspend parol condit impos law enforc author author transfer restrict movement restrict appli citizenship card temporari resid permit immigr document stamp passport stamp stamp certif certif applic author assign licens registr procedur examin exam certif process review evalu assess section nation end classif releas ation begin begin deport count releas start minu restrict descript detain refuge output stop permit introduct repeat time break period entri deport data end entri end index document complet detent applic result interv begin content document event departur deadlin content final commenc commenc travel suspens closur analysi termin transfer enddictionari skip origin enddur exil exil chronolog failur flashback biograph termin termin inpaus imprison prison sum sequenc request incept prefac default forward wait arriv recognit suspidentif asylum award confluenc histori laps accumul resid age denial remov hypothesi back narrat backward load forretir retrospect upon drop freedom birth root redempt return backward done revers past resum evolut quantum loop add funer acceler addit invers expuls exodu destin job infin custom asset expans employ decay experi bond task induct increas work loss expel converg bargain sabotag effort discontract demis chang orbit tornado rite upcharg defect ascend thing upgrad alloc graviti idea suffix averag upstock new doubl progress expens void slack innov repair reward breakdown punish payment paradox express custom remors mass short stroke accommod set apprenticeship apertur emot upgrad inflat function risk,xlm
3,china coronaviru eat wild anim made illeg end trade wont easi deal kill captur human includ children infant victim prey famili friend alliesfamili member food especi young girl infant femal child male adult man woman girl boy dog cat bird fish tree frog snake rabbit chicken pig cow goat sheep wolf tiger monkey deer lion bear leopard hors mule buck camel donkey bull eleph ox calf buffalo ass butt head cattl tail steer poni stallion mare filli stud puppi babi chick egg hen cock crow sparrow owl raven nest crow egg bird nest nest hous hous home owner home owner homew househusband husband wife coupl coupl marri singl singl unmarri pair bachelor pair marriag brotherhood group sex wed wed vow commit ceremoni funer servic burial servic death certif birth registr number identif card passport stamp signatur wit testimoni trial court evid document deposit expert wit document seiz polic investig includ follow item content descript summari content overview introduct brief prefac prologu conclus conclus conclud remark observ note comment comment commentari bibliographi refer citat sourc cite sourc citat index expand version text analysi result report find investig report intern investig file investig team file investig profil detect profil person inform biograph data refer biographi biographi search engin googl imag facebook page imag galleri photo album cover pictur book photo photograph anim case apart widow contact intellig farm kid marriag interview spous interview barn worm peopl chicken suspect sibl chick occup ident household old boyfriend obituari brother farmer car human alien household parent lover detail farm domest mother lover plant sibl person farmer poultri livestock cousin bodi kin uncl sister rel portrait father parent offspr twin new elderli sister inquiri fork breed inlaw maiden forens fellow cousin relat brother blood villag stranger preliminari liver stranger meat origin daughter examin outlaw fowl confess job stock dead man speci orphan friend queer intim soul job sexual elder encyclopedia neighbor charact countri fanci spirit busi elf vocat hair birthday tribal natur folk resum angri host bar inspect partner two outsid gender self cross pet forest transgend danc spirit work person piec exot eye commun among secret pub littl express express rare meet milk tall merger flower exchang strang demon slave strong languag crude mercenari weak earth breed face disguis outsid fruit bond connect avian shop close breed beast item sens half foreign local junk hard dark feral eye poor ethnic affect organ appl flower relationship knight task auction bad rural trait patch wine magic fusion nativ object fauna finder acquaint wizard fair doubl compound coffe cat public night societi barber part,xlm
4,china economi could shrink first time decad coronaviru outbreak cnn monday even edit shanghai beij beyond news asia europ africa america global world biggest crisi em tell us let talk nowtomorrow night pm est br x necessari billion worldwid blame viru c n e b f g h j k l u v w z q r p qr ps rss rt re sr srt tr trst st std sti sp sp si si psi iss isi iti sit sat sa ssa ssa sa ssi so sc sci cs ci ci cic cc cccf cca ca ct co co oc ok okno oho oh oo oe oi ou oso os ook oo ook ow aw aa aaa aaah aha ee eee ea ae eh eee ee i ie ye yeah hey hi hello friend well thank anyway sorri realli im fine okay good bye goodby goodby goodnight farewel forev alway friend best buddi lover brother sister cousin famili member sir se sit cho oon ns let sti ssr ru up cn rd ls hs sco uss se huh ey rrhff ass uc hou nnrsh fr nr sq au nn na nh sm ri sk mom scbcu yo sm dnd ri sic eur wdi stu ur dd ms npr cnsri smwow nswr strsui sse au ra ose er vs shi swese fyvoa autri usd ai dar ot dr ru ni siur lti sirtodssviirir mgti ch xsto tt tsu tran umr du hu ei doo yr tle th fvlch fftal atu su aut hn aud ti dir eu mi hoc sur chu sad mansntu mr dhpde ng ghal dur sl eidi dat shzchen fi ki ig ar gs yen tur be der sky fu bs dow von air fi de le dujin han dai mei ba ji wu isi ol yah wi tara iwtel pa jpo cz lao ding ky yu limaru van ia li man see mir sea seth,xlm
5,china japan bud relationship time coronaviru chang x time n right r f ff e c g b els fail say ye marriag pleas quickli need badli bad wait listen care dear heart love forev ever oh god stop cri babi cri mommi sorri daddi marri alreadi anyway good bye goodby mom ok dad okay mother go away sleep well goodnight sweetheart farewel darl goodby mama hello papa hey yeah huh hmm eh hh mmm ha hm hmmm h uh hu hum ah ho hee nois happen somewher tokyo citi skylin everyth high way higher even lower still anyth low level like cloud drift slowli move fast thing small peopl big build tall tree hous apart hotel restaur shop school hospit clinic doctor offic store warehous factori factori ship cargo airplan train car buse truck automobil vehicl van wagon coach tram locomot carriag taxi bike bicycl motorcycl boat aircraft univers elev car plane sky sweeti night realli tear town wow look paus dammit citi airport father laboratori railroad happysad railway airport rocket p sob sob smile mountain honey leav kiss stay home sleep station quit q highway airlin safe smile hush hug rail sunset happi flower butterfli station kiss eye colleg workshop dragon leav journey theater hair wish wink forest breez heart stripe sky sun rain star wind sunlight villag job lightn bird farm dinosaur furmoon robot egg wed snow alon wing light light human motor speed ocean wind owl atom hand passeng thunder fruit anim hi spark new train book planet galaxi stabl crop dust ocean cow sock word bone root rice feather mind atmospher soul mind l owl dna brain day crow rock window hors mice plant union metal core countri cloth co jewel air squar door prayer water wolf coffe candl appl cat eleph liver spirit gold food fire dawn wed magic day iron color tea angri stori merri brain tail candl soul glass sugar metal chicken weather death grain bicycl anim grass sun hot fruit wine veget short pig hail morn caf shini sheep coal plant egg dark human backward ground ni fanci,xlm
6,coronaviru fast becom econom pandem that e c b f g h x j definit type class system properti name figur right side top left bottom sideway downward upward backward forward forward backward back forth paus stop start end repeat finish begin continu done twice repeat complet sequenc repeat complet complet begin anoth cycl one five time often normal occurr occur viru spread rapidli unexpectedli spread far stop suddenli detect yet discov found never suspect lost alway unknown known loss ever report none record death record ill diseas caus treatment cure find noth happen sinc year occur beyond onward come futur present day past today tomorrow yesterday tonight someday whenev nowaday sometim later anytim sooner late earlier sometim momentarili present meanwhil meantim presentday till recov hope forev usual caus nearer somewher confirm interrupt occasion seldom paus mayb even u worldwid alreadi yearli henc unless etc everyday afterward start without also notic still perhap anymor n alright nobodi that somehow realli thereaft though happen indefinit toward happen shortli begin soon neither next likewis end sure rare someth yeah dammit nowwhat r what oh except nevernowher whenwel gone unseen unnot rare nevertheless eh anyway nowther thu ago seem like time better someplac either happen ye who wait otherwis goe quit whatev upon dusk forget fuck wheryou forgot els new go moreov becom keep whereunexpect aint thengood bad flashback get current get forgotten end go dead ok born die last made sleep fair went forabout aliv damn weird rain away unlik way rite spot easi sleep danger break uncommon luck sky snow exactli take riski say everi final sunset got youll slow wors rekil almost make bout old anyth fun see storm danger round thing,xlm
7,histori wuhan onetim chines capit coronaviru epicent c nowiki h x possibl one die reason happenedth caus unknown suspect peopl that happen sometim often human especi children sick get infect die disappear forev found never seen heard case noth known anyth use confirm neither document wit none notic nobodi saw anyon dead yet aliv nowher anywher ever sinc disappear everybodi knew everyth normal even ordinari thing happen everyday life goe normal almost everyon know someth unusu happen somewher right mayb die perhap ill possibl healthi ye probabl well ok good bye goodby goodby farewel hello goodnight oh yeah realli safe anyway thank care anytim soon pleas stop worri alreadi okay alright fine sure sorri much better still happi actual nice inde glad also im sad nowaday otherwis would differ today instead yesterday go togeth tomorrow day us rememb hope though alway gone hi hey discov etc anybodi dammit unseen dear although said mention usual somehow vanish huh great miss r either lost sure nevertheless disappear disappear investig unnot suspici go seldom without mysteri somebodi someon day unal two except everi useless forgotten hope bad buri left doubt abandon neglect truli late howev wonder kill mostli strang doubt whatev forget death mysteri fortun that danger weird wonder die eh free murder easili happili suicid hidden murder lone els anymor suspicion unlik other away alon coincid strang poor guilti stolen stay deni happi reveng tri feel forget innoc final wrong lucki luck lazi stranger kill loss fair definit danger origin unhappi suspicion obscur deliber accident way sabotag fanci riski nervou accid fear scare imposs get funni cheer chanc angri merri fault accident news dare fatal best self new harm troubl absent look born far rite done usual job sens spi crazi forbidden quit fun miss fear mad fortun birth thing word storm near game midday idea funer look shame what back eye nasti old make like wish find hobbi gift rememb lose odd sli mood weather simpl defect want becom cat contest know secret see,xlm
8,global stock pull back edg histor selloff sale asset b c exampl major world economi averag gdp capita per capit asset class asia pacif region almost everywher els except europ countri year twice less period exampl usa china japan eu russia x india total stock price peak time enough good longer profit sell noth care anyway hurt much lose everyth someday soon care profit anymor today sinc gone forev tomorrow unless sell share immedi even mayb well surviv somehow ye sure yeah okay right fine wait later tonight perhap see someth interest happen buy compani overnight like compani yesterday night hey guy listen care said earlier friday morn rememb say anyth import last week oh sorri boss ok thank sir pleas continu listen care speak slowli deliber think deepli serious think hard concentr intent concentr intens concentr concentr focus focus focu attent focus concentr focat paus breath deep breath slow relax gentli move slower step still faster walk closer stop walk farther come worldwid stare huh hmm easi hello money though look otherwis realli h probabl sooner whoa eventu ly gaze medit better doubl never calm happen economi eh that alright ah nowaday cheap none dammit breath sure suspsometim wealth yet sit quiet alway quit also best intens breath financi perman stare make calmli ever keep say alreadi work etc steadi glare worth die go thought r still calm norm nowther cheaper relax zee spend hold damn relax busi dead sometim sigh hush lazi theress simpli riski somewher time happi want what quietli incom enjoy aliv tri bad fast sad happi alt dy thrive rd wors job rich littl fair chill saniti sleep sleepi live new fli get remerri prosper stay till fuck bore rest death suicid weird job sunshin luck mood whatev die happier sabotag click hell angri risk fear danger fun guess stupid mad glad joy shame feat sun smile low delight old frown shini excit tri moral reveng truli shift gold temper go tranc shine gain dirti sad mind crazi work skill,xlm
9,chines diplomat promot conspiraci theori us militari brought viru wuhan airport usa canada border open threat china japan attack america see american flag symbol wing like dragon head sky wife kill die accident accid unknown reason suspect reveng death incid hospit surgeri procedur die patient bleed heavili tabl oper room close complet lock door insid except door outsid open emerg exit way block also exit seal tight morn hour etcetc far investig conclud motiv opportun neither possibl either fact proven sinc investig continu still ongo meanwhil case continu develop rapidli fast till today even though polic report file none evid yet found verifi ie dna sampl collect recent cannot confirm anyth els whatsoev besid suspicion howev remain someth suspici murder suicid case especi accid involv doctor patient wive kill husband husband doctor killer lover murder girlfriend killer boyfriend fianc brother sister cousin uncl nephew brotherinlaw sister brother cousin sibl children parent parent father mother grandfath grandmoth aunt grandpa grandma grandpar great grandfath greatgreatgrandfath ancestor ancestor rel famili tree see link ancestri origin rel relationship branch lover child offici offici spous murder suspect seem friend although friend fact caus noth final death detail grandchildren inlaw neighbor ancestr arrest wit famili son suspicion involv son hospit medic staff without suspect daughter descend clue other offspr person patern involv sibl member crime gener coincid colleagu mother unrel daughter connect childhood blood matern neighbour fatherchildwork associ innoc partner murder wit elder stranger guilti kid old partner enemi jealou new victim twin birth absent nurs elder kin offic accident employe ambul distant peer assassin close fatherinlaw relat maid link bastard vengeanc near murder eye niec crime outsid dead guilt root past relat boss secret closer foe superior stranger job granddaught employ mutual employe blame fellow exorigin boss job secur employ danger innoc kill affair disself workplac descend homeland deceas freelanc wed funer secret spi alli meet retir outsid mentor assassin intim backward neighbor belov younger natur former enemi clue kidnap betray person task disappear foreign associ intern loss marriag espionag jealousi assassin spi fault forallegi sabotag agent birthday dad corrupt older treason core cat homosexu defect tall mind mom middl life heritag flashback club career differ young egg spi traitor trait sideway apart,xlm
