,Generation,label
0,latest headlin cnn busi us stock surg record vaccin hope upbeat earn netflix share soar big subscrib growth us busi invest plung second quarter pandem hit thousand sear kmart store close good mcdonald say sale far august better expect jpmorgan chase first major bank commit racial equal amazon plan open deliveri hub year mastercard q result beat wall street estim earli data show us consum spend rose juli white hous plan b viru relief talk fail mnuchin,instructgpt
1,china want take victori lap handl coronaviru outbreak china may eager take victori lap handl coronaviru outbreak face question foreign govern human right organ remain somewhat reluct nonetheless chines author trumpet success contain viru beij sought portray leader global health safeti effort what chines state media depict countri medic profession scientist allaround citizen heroic face pandem countri begin reopen economi offici like press narr approach work albeit lesson learn,instructgpt
2,coronaviru disinform creat challeng china govern rapid spread coronaviru disinform creat signific challeng china govern face unpreced public health crisi chines author taken variou measur prevent contain viru howev spread fals mislead inform made difficult author effect manag crisi fals mislead inform prevent peopl understand serious situat take necessari precaut also lead panic public disord make difficult govern control situat counter spread disinform chines govern launch massiv public awar campaign use tradit social media govern also implement realtim monitor onlin post identifi delet fals mislead inform chines author also crack peopl share dissemin fals inform viru even impos jail sentenc individu consid spread fals inform rumor,instructgpt
3,china coronaviru eat wild anim made illeg end trade wont easi chines govern took one signific step yet prevent recurr novel coronaviru outbreak crimin hunt eat wild anim move welcom one believ viru origin wildlif market wuhan spread human end wildlif trade critic step prevent futur outbreak said put end illeg wildlif trade difficult multibilliondollar industri deepli ingrain chines cultur order success end wildlif trade chines govern need creat effect enforc mechan polic illeg hunt trade anim also need educ citizen import stop consum trade wild anim provid resourc help impoverish commun transit away industri addit offer incent individu busi help transit sustain industri may also necessari overal chines govern crimin hunt eat wild anim posit step right direct need take addit measur order effect enforc ban effect end illeg wildlif trade,instructgpt
4,china economi could shrink first time decad coronaviru outbreak enorm impact chines economi alreadi significantli reduc chines industri product prompt busi close caus unemploy skyrocket consum spend decreas addit chines govern impos travel restrict major impact countri tourism industri viru continu spread possibl chines economi could shrink first time sinc,instructgpt
5,china japan bud relationship time coronaviru china japan strain relationship sinc world war ii amid covid pandem two nation exhibit willing cooper collabor japanes prime minist shinzo abe chines presid xi jinp exchang messag mutual respect offer assist address pandem addit govern countri engag discuss expand econom relat deepen cultur tie earli april two countri announc joint project promot medic cooper respons pandem chines govern sent medic suppli japan includ face mask gown japan reciproc medic knowledg advic mitig viru spread midmay japan ministri economi trade industri announc provid monetari aid china ministri industri inform technolog help chines compani purchas japanesemad medic protect equip two countri also explor use respect strength – japan advanc technolog china vast manufactur capabl – jointli develop medicalus equip like ventil drone viru detect develop bilater tie china japan wellreceiv expert contend closer relationship two countri necessari effect combat pandem addit medic cooper econom tie form two nation also expand cultur cooper april japan agenc cultur affair china nation art fund jointli launch program promot cultur exchang two countri pandem program last end provid fund support collabor project japan china includ digit workshop joint research project public joint work initi undertaken japan china underscor shift dynam relationship demonstr commit promot mutual trust cooper understand across two countri,instructgpt
6,coronaviru fast becom econom pandem effect coronaviru outbreak felt around world sever econom implic domest abroad econom financi impact pandem signific like continu felt time consum busi seen dramat decreas demand good servic result mass layoff signific drop stock price global market rippl effect busi struggl access necessari fund seek govern assist creat econom pandem result weaken economi financi instabl,instructgpt
7,histori wuhan onetim chines capit coronaviru epicent citi wuhan locat hubei provinc central china one import citi countri histori throughout year histori wuhan serv capit sever differ chines dynasti major center commerc bc qin dynasti unifi china establish capit citi xianyang locat present day shaanxi provinc howev bc qin court reloc wuhan establish new capit mark first time citi use offici capit unifi china next two thousand year wuhan saw varieti differ ruler differ dynasti citi chang hand war power ming dynasti wuhan continu import center trade industri locat near yangtz river waterway allow easi access foreign port republican era wuhan serv capit hubei provinc world war ii citi heavili damag japanes bomb rebuilt help american aid wuhan select becom one four chines megac help spur econom growth citi quickli becam import center industri technolog financ citi struck coronaviru pandem mani initi case emerg wuhan chines govern took strong measur contain viru citi nevertheless hit hard although situat improv pandem caus major econom social disrupt wuhan china whole,instructgpt
8,global stock pull back edg histor selloff global stock pull back edg wednesday investor recov histor selloff spark coronaviru pandem oil price war major indic us europ asia post modest gain follow sharpest declin sinc financi crisi previou session dow jone industri averag close higher sp rose nasdaq composit index ad bond yield edg lower dollar weaken yield benchmark year us treasuri dip tuesday oil price ralli well rise much plummet nearli previou session investor sentiment support effort us elsewher provid financi aid compani household affect viru pledg world largest oil produc act cooper reduc output,instructgpt
9,chines diplomat promot conspiraci theori us militari brought viru wuhan fals conspiraci theori absolut unaccept chines govern peopl remain commit complet thorough investig origin viru jump conclus spread rumor order avoid misinform confus,instructgpt
10,putin xi use coronaviru crisi extend control across world trump struggl keep upwith competit face coronaviru crisi putin xi seek gain greater control citizen territori putin devot signific resourc control state media clamp dissent xi push hard social credit system would monitor control activ chines citizen meanwhil presid trump struggl keep sheer breadth initi instead focus domest issu unit state trump implement travel ban select countri impos stringent social distanc measur secur billion dollar stimulu packag howev effort limit extent compar action putin xi whose initi appear farreach ambiti,instructgpt
11,south korean compani creat coronaviru test kit three week south korean diagnost firm sd biosensor abl develop mass produc coronaviru test kit three week compani reli exist infrastructur highli skill local workforc direct collabor research develop manufactur depart order quickli complet develop process firm look exist rtpcr technolog diagnost tool commonli use detect genet materi virus firm also employ help research korea univers korea center diseas control prevent,instructgpt
12,troubl line donald trump latest news confer coronaviru “we viru nobodi ever seen before” “one day it’ like miracl disappear” “we open countri head direct good” “i’m go drive countri world frenzy” “look what’ happen countri stay close suffer greatly” “im allow governor make decisions” “i dont take respons all” “i dont take full responsibility” “i dont even think death toll close number countries” “thi go go away without vaccine” “the number death minuscul compar projected” “the problem fake news” “thi pandem never happened” “i dont think test overrated” “it go disappear” “we may plagu come country” “we’r go live virus” “the test tremend disservic country” “i think we’r go good coronavirus” “but unfortun death toll is” “we’r face lousi situation” “the viru sort disappear hope” “thi problem stop sourc mean china” “thi contagi viru it’ incredible” “it’,instructgpt
13,coronaviru could hurt boe max crisi coronaviru could much devast financi impact boe max crisi coronaviru caus dramat drop air travel result immedi sever impact airlin key custom boe furthermor viru exacerb alreadi exist global econom downturn advers impact corpor spend reduc demand commerci aircraft delay cancel order boe addit diseas caus signific supplier disrupt could caus lengthi delay product boe aircraft,instructgpt
